,0
als_m12_id_caoff_allnum,55497
als_m12_id_caoff_orgnum,55497
als_m12_id_cooff_allnum,57213
als_m12_id_cooff_orgnum,57213
als_m12_id_af_allnum,88438
als_m12_id_af_orgnum,88438
als_m12_id_coon_allnum,71591
als_m12_id_coon_orgnum,71591
als_m12_id_oth_allnum,50309
als_m12_id_oth_orgnum,50309
als_m12_id_bank_selfnum,47826
als_m12_id_bank_allnum,47826
als_m12_id_bank_tra_allnum,48389
als_m12_id_bank_ret_allnum,92024
als_m12_id_bank_orgnum,47826
als_m12_id_bank_tra_orgnum,48389
als_m12_id_bank_ret_orgnum,92024
als_m12_id_bank_tot_mons,47826
als_m12_id_bank_avg_monnum,47826
als_m12_id_bank_max_monnum,47826
als_m12_id_bank_min_monnum,47826
als_m12_id_bank_max_inteday,69501
als_m12_id_bank_min_inteday,69501
